timestamp;tag_name;value
20230721T162357;pv;-83.59
20230721T162357;set-ll;-90.0
20230721T162357;set-l;-88.0
20230721T162357;set-h;-72.0
20230721T162357;set-hh;-70.0
20230721T162358;pv;-83.56
20230721T162358;set-ll;-90.0
20230721T162358;set-l;-88.0
20230721T162358;set-h;-72.0
20230721T162358;set-hh;-70.0
20230721T162359;pv;-83.59
20230721T162359;set-ll;-90.0
20230721T162359;set-l;-88.0
20230721T162359;set-h;-72.0
20230721T162359;set-hh;-70.0
20230721T162400;pv;-83.59
20230721T162400;set-ll;-90.0
20230721T162400;set-l;-88.0
20230721T162400;set-h;-72.0
20230721T162400;set-hh;-70.0
20230721T162401;pv;-83.59
20230721T162401;set-ll;-90.0
20230721T162401;set-l;-88.0
20230721T162401;set-h;-72.0
20230721T162401;set-hh;-70.0
20230721T162402;pv;-83.59
20230721T162402;set-ll;-90.0
20230721T162402;set-l;-88.0
20230721T162402;set-h;-72.0
20230721T162402;set-hh;-70.0
20230721T162403;pv;-83.56
20230721T162403;set-ll;-90.0
20230721T162403;set-l;-88.0
20230721T162403;set-h;-72.0
20230721T162403;set-hh;-70.0
20230721T162404;pv;-83.59
20230721T162404;set-ll;-90.0
20230721T162404;set-l;-88.0
20230721T162404;set-h;-72.0
20230721T162404;set-hh;-70.0
20230721T162405;pv;-83.59
20230721T162405;set-ll;-90.0
20230721T162405;set-l;-88.0
20230721T162405;set-h;-72.0
20230721T162405;set-hh;-70.0
20230721T162406;pv;-83.59
20230721T162406;set-ll;-90.0
20230721T162406;set-l;-88.0
20230721T162406;set-h;-72.0
20230721T162406;set-hh;-70.0
20230721T162407;pv;-83.62
20230721T162407;set-ll;-90.0
20230721T162407;set-l;-88.0
20230721T162407;set-h;-72.0
20230721T162407;set-hh;-70.0
20230721T162409;pv;-83.59
20230721T162409;set-ll;-90.0
20230721T162409;set-l;-88.0
20230721T162409;set-h;-72.0
20230721T162409;set-hh;-70.0
20230721T162410;pv;-83.62
20230721T162410;set-ll;-90.0
20230721T162410;set-l;-88.0
20230721T162410;set-h;-72.0
20230721T162410;set-hh;-70.0
20230721T162411;pv;-83.62
20230721T162411;set-ll;-90.0
20230721T162411;set-l;-88.0
20230721T162411;set-h;-72.0
20230721T162411;set-hh;-70.0
20230721T162412;pv;-83.59
20230721T162412;set-ll;-90.0
20230721T162412;set-l;-88.0
20230721T162412;set-h;-72.0
20230721T162412;set-hh;-70.0
20230721T162413;pv;-83.59
20230721T162413;set-ll;-90.0
20230721T162413;set-l;-88.0
20230721T162413;set-h;-72.0
20230721T162413;set-hh;-70.0
20230721T162414;pv;-83.59
20230721T162414;set-ll;-90.0
20230721T162414;set-l;-88.0
20230721T162414;set-h;-72.0
20230721T162414;set-hh;-70.0
20230721T162415;pv;-83.59
20230721T162415;set-ll;-90.0
20230721T162415;set-l;-88.0
20230721T162415;set-h;-72.0
20230721T162415;set-hh;-70.0
20230721T162416;pv;-83.59
20230721T162416;set-ll;-90.0
20230721T162416;set-l;-88.0
20230721T162416;set-h;-72.0
20230721T162416;set-hh;-70.0
20230721T162417;pv;-83.59
20230721T162417;set-ll;-90.0
20230721T162417;set-l;-88.0
20230721T162417;set-h;-72.0
20230721T162417;set-hh;-70.0
20230721T162418;pv;-83.62
20230721T162418;set-ll;-90.0
20230721T162418;set-l;-88.0
20230721T162418;set-h;-72.0
20230721T162418;set-hh;-70.0
20230721T162419;pv;-83.59
20230721T162419;set-ll;-90.0
20230721T162419;set-l;-88.0
20230721T162419;set-h;-72.0
20230721T162419;set-hh;-70.0
20230721T162420;pv;-83.62
20230721T162420;set-ll;-90.0
20230721T162420;set-l;-88.0
20230721T162420;set-h;-72.0
20230721T162420;set-hh;-70.0
20230721T162421;pv;-83.62
20230721T162421;set-ll;-90.0
20230721T162421;set-l;-88.0
20230721T162421;set-h;-72.0
20230721T162421;set-hh;-70.0
20230721T162422;pv;-83.62
20230721T162422;set-ll;-90.0
20230721T162422;set-l;-88.0
20230721T162422;set-h;-72.0
20230721T162423;set-hh;-70.0
20230721T162424;pv;-83.62
20230721T162424;set-ll;-90.0
20230721T162424;set-l;-88.0
20230721T162424;set-h;-72.0
20230721T162424;set-hh;-70.0
20230721T162425;pv;-83.59
20230721T162425;set-ll;-90.0
20230721T162425;set-l;-88.0
20230721T162425;set-h;-72.0
20230721T162425;set-hh;-70.0
20230721T162426;pv;-83.56
20230721T162426;set-ll;-90.0
20230721T162426;set-l;-88.0
